EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	16:03:06	0	0.0200	0.04242613594928295	2.0596368235345486e-05	1.0	1.0	1.0	1.0
2	16:03:07	1	0.0200	0.0071788044489047185	0.0012455513251242419	0.9375	0.9677	0.9524	0.9091
3	16:03:08	2	0.0200	0.01915402876908513	6.925371577185281e-05	1.0	1.0	1.0	1.0
4	16:03:09	3	0.0200	0.013039642036448383	0.000602855803443515	1.0	1.0	1.0	1.0
5	16:03:09	0	0.0200	0.02699646849073571	1.2046415146920733e-05	1.0	1.0	1.0	1.0
6	16:03:10	0	0.0200	0.019000560126447547	9.733251734909478e-06	1.0	1.0	1.0	1.0
7	16:03:11	0	0.0200	0.01649419009198285	8.691436044961386e-06	1.0	1.0	1.0	1.0
8	16:03:11	1	0.0200	0.027162654198482836	9.084808361807738e-06	1.0	1.0	1.0	1.0
9	16:03:12	2	0.0200	0.028467940618296734	1.3792370962469702e-05	1.0	1.0	1.0	1.0
10	16:03:13	3	0.0200	0.02134983716608718	9.557205600279332e-06	1.0	1.0	1.0	1.0
11	16:03:13	4	0.0200	0.02114655390097595	0.00023257807281208356	1.0	1.0	1.0	1.0
12	16:03:14	1	0.0100	0.018380857780778765	2.3329444392086406e-05	1.0	1.0	1.0	1.0
13	16:03:14	0	0.0100	0.011809778798178691	7.3196587696397075e-06	1.0	1.0	1.0	1.0
14	16:03:15	0	0.0100	0.022886139901522395	6.562562822139062e-06	1.0	1.0	1.0	1.0
15	16:03:16	0	0.0100	0.02116821637270561	6.537027030568322e-06	1.0	1.0	1.0	1.0
16	16:03:16	1	0.0100	0.026669886115461346	8.31819628142492e-06	1.0	1.0	1.0	1.0
17	16:03:17	0	0.0100	0.011602034360901212	6.004474848644102e-06	1.0	1.0	1.0	1.0
18	16:03:18	1	0.0100	0.014589922061083426	6.115684870099444e-06	1.0	1.0	1.0	1.0
19	16:03:18	0	0.0100	0.01371632723457482	5.860142242194602e-06	1.0	1.0	1.0	1.0
20	16:03:19	0	0.0100	0.0101189593853028	5.316616764186179e-06	1.0	1.0	1.0	1.0
