         619085 function calls (598864 primitive calls) in 0.381 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.000    0.000 datetime.py:488(__new__)
      712    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1400(<genexpr>)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
        1    0.000    0.000    0.000    0.000 models.py:183(ParameterBase)
        1    0.000    0.000    0.000    0.000 ufunclike.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f719d24c160}
      168    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 server.py:55(Server)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        7    0.000    0.000    0.000    0.000 typing.py:248(_tp_cache)
        1    0.000    0.000    0.000    0.000 tls.py:43(TLSStream)
      644    0.000    0.000    0.000    0.000 IntervalSet.py:16(__init__)
      115    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
        1    0.000    0.000    0.000    0.000 _tasks.py:23(TaskGroup)
        1    0.000    0.000    0.000    0.000 parser.py:253(OptionParser)
        1    0.000    0.000    0.000    0.000 main.py:47(awatch)
        1    0.000    0.000    0.000    0.000 edns.py:305(EDECode)
       47    0.000    0.000    0.000    0.000 ipaddress.py:535(_split_addr_prefix)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1341(SubArrayFormat)
        1    0.000    0.000    0.000    0.000 transfer.py:2(<module>)
        1    0.000    0.000    0.000    0.000 shell_completion.py:190(ShellComplete)
        1    0.000    0.000    0.000    0.000 payout.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datastructures.py:372(QueryParams)
      742    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:774(create_module)
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
      126    0.000    0.000    0.000    0.000 copyreg.py:90(__newobj__)
        1    0.000    0.000    0.000    0.000 _typedattr.py:37(TypedAttributeProvider)
        1    0.000    0.000    0.000    0.000 emitter.py:9(<module>)
        2    0.000    0.000    0.000    0.000 ATNDeserializer.py:247(readDecisions)
        1    0.000    0.000    0.000    0.000 representer.py:2(<module>)
        1    0.000    0.000    0.000    0.000 jacParser.py:13(serializedATN)
        1    0.000    0.000    0.000    0.000 core.py:811(BaseCommand)
        1    0.000    0.000    0.000    0.000 SOA.py:18(<module>)
        1    0.000    0.000    0.000    0.000 rcode.py:23(Rcode)
        1    0.000    0.000    0.000    0.000 _sockets.py:89(UNIXSocketStream)
        1    0.000    0.000    0.000    0.000 ssl.py:223(_TLSMessageType)
       14    0.000    0.000    0.000    0.000 _immutable_ctx.py:62(__init__)
        7    0.000    0.000    0.000    0.000 __init__.py:858(__init__)
        1    0.000    0.000    0.000    0.000 transports.py:1(<module>)
       15    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
       12    0.000    0.000    0.000    0.000 param_functions.py:204(Form)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
        1    0.000    0.000    0.000    0.000 exception.py:18(<module>)
        1    0.000    0.000    0.000    0.000 websockets.py:20(WebSocket)
        1    0.000    0.000    0.000    0.000 typing.py:46(ASGIVersions)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 from_thread.py:68(_BlockingAsyncContextManager)
       54    0.000    0.000    0.000    0.000 enum.py:146(<dictcomp>)
        1    0.000    0.000    0.000    0.000 jacLexer.py:12(serializedATN)
        1    0.000    0.000    0.000    0.000 models.py:28(Contact)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:44(_bits_of)
        1    0.000    0.000    0.000    0.000 ZONEMD.py:3(<module>)
        1    0.000    0.000    0.000    0.000 os.py:40(_get_exports_list)
        1    0.000    0.000    0.000    0.000 models.py:14(CharsetMatch)
      108    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.000    0.000 customer.py:2(<module>)
        1    0.000    0.000    0.000    0.000 oauth_error.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _collections.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method posix.open}
        1    0.000    0.000    0.000    0.000 models.py:45(Info)
        3    0.000    0.000    0.000    0.000 tokenize.py:83(_all_string_prefixes)
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
       13    0.000    0.000    0.000    0.000 mixins.py:36(_inplace_binary_method)
        1    0.000    0.000    0.000    0.000 exceptions.py:23(ExceptionMiddleware)
        5    0.000    0.000    0.000    0.000 enum.py:881(<listcomp>)
        1    0.000    0.000    0.000    0.000 hermite.py:1(<module>)
       41    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:62(<genexpr>)
      484    0.000    0.000    0.000    0.000 typing.py:183(<listcomp>)
        1    0.000    0.000    0.000    0.000 models.py:260(PathItem)
        1    0.000    0.000    0.000    0.000 _subprocesses.py:9(Process)
        1    0.000    0.000    0.000    0.000 laguerre.py:1(<module>)
      159    0.000    0.000    0.000    0.000 DFA.py:16(__init__)
       25    0.000    0.000    0.000    0.000 typing.py:509(_evaluate)
      111    0.000    0.000    0.000    0.000 types.py:171(__get__)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1151(_parse_octet)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
        1    0.000    0.000    0.000    0.000 intranges.py:1(<module>)
       17    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
       14    0.000    0.000    0.000    0.000 name.py:321(__init__)
        1    0.000    0.000    0.000    0.000 formatting.py:102(HelpFormatter)
       13    0.000    0.000    0.000    0.000 nested_resource_class_methods.py:17(wrapper)
       31    0.000    0.000    0.000    0.000 ATNDeserializer.py:486(<lambda>)
      215    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
       12    0.000    0.000    0.000    0.000 {built-in method _operator.getitem}
        1    0.000    0.000    0.000    0.000 struct.py:3(<module>)
        1    0.000    0.000    0.000    0.000 queues.py:1(<module>)
       39    0.000    0.000    0.000    0.000 typing.py:733(__mro_entries__)
        1    0.000    0.000    0.000    0.000 OPT.py:18(<module>)
        1    0.000    0.000    0.000    0.000 datastructures.py:479(Headers)
      168    0.000    0.000    0.000    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.000    0.000 poolmanager.py:361(ProxyManager)
       21    0.000    0.000    0.000    0.000 os.py:668(__getitem__)
        1    0.000    0.000    0.000    0.000 util.py:10(<module>)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:754(exec_module)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
       54    0.000    0.000    0.000    0.000 enum.py:58(__init__)
        1    0.000    0.000    0.000    0.000 helper.py:1(<module>)
       20    0.000    0.000    0.000    0.000 __init__.py:1392(__init__)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _testing.py:8(TestRunner)
        8    0.000    0.000    0.000    0.000 typing.py:1057(__init_subclass__)
      392    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
        1    0.000    0.000    0.000    0.000 quote.py:2(<module>)
       19    0.000    0.000    0.000    0.000 __init__.py:1323(_fixupParents)
        1    0.000    0.000    0.000    0.000 auth.py:3(<module>)
       31    0.000    0.000    0.000    0.000 ATNDeserializer.py:491(<lambda>)
        1    0.000    0.000    0.000    0.000 core.py:1924(CommandCollection)
        1    0.000    0.000    0.000    0.000 types.py:933(Tuple)
      704    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 ttl.py:18(<module>)
        1    0.000    0.000    0.000    0.000 SemanticContext.py:14(<module>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        1    0.000    0.000    0.000    0.000 stapled.py:78(MultiListener)
        1    0.000    0.000    0.000    0.000 datastructures.py:312(MultiDict)
        1    0.000    0.000    0.000    0.000 base_subprocess.py:1(<module>)
      4/3    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 models.py:57(ServerVariable)
        1    0.000    0.000    0.000    0.000 zonefile.py:18(<module>)
        1    0.000    0.000    0.000    0.000 source.py:2(<module>)
        1    0.000    0.000    0.000    0.000 zone.py:110(Zone)
        1    0.000    0.000    0.000    0.000 IntervalSet.py:7(<module>)
        1    0.000    0.000    0.000    0.000 params.py:14(Param)
        1    0.000    0.000    0.000    0.000 ATNDeserializer.py:33(ATNDeserializer)
        1    0.000    0.000    0.000    0.000 transaction.py:3(<module>)
        1    0.000    0.000    0.000    0.000 proxy_headers.py:1(<module>)
      157    0.000    0.000    0.000    0.000 typing.py:532(__hash__)
        1    0.000    0.000    0.000    0.000 _streams.py:175(Listener)
      115    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        1    0.000    0.000    0.000    0.000 tls.py:208(TLSListener)
       48    0.000    0.000    0.000    0.000 dataclasses.py:745(_set_new_attribute)
        1    0.000    0.000    0.000    0.000 core.py:2814(__new__)
      465    0.000    0.000    0.000    0.000 inspect.py:2845(parameters)
        1    0.000    0.000    0.000    0.000 scanner.py:27(<module>)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
       88    0.000    0.000    0.000    0.000 six.py:146(__init__)
        1    0.000    0.000    0.000    0.000 _signals.py:1(<module>)
        2    0.000    0.000    0.000    0.000 background.py:1(<module>)
        1    0.000    0.000    0.000    0.000 oauth2.py:13(OAuth2PasswordRequestForm)
       12    0.000    0.000    0.000    0.000 params.py:280(__init__)
        1    0.000    0.000    0.000    0.000 datetime.py:789(date)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1531(_make_netmask)
       31    0.000    0.000    0.000    0.000 ATNState.py:229(__init__)
        1    0.000    0.000    0.000    0.000 thread.py:4(<module>)
        1    0.000    0.000    0.000    0.000 PredictionMode.py:21(PredictionMode)
        1    0.000    0.000    0.000    0.000 logging.py:1(<module>)
        2    0.000    0.000    0.000    0.000 session.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
        1    0.000    0.000    0.000    0.000 enums.py:1(<module>)
       10    0.000    0.000    0.000    0.000 sre_compile.py:416(_bytes_to_codes)
        1    0.000    0.000    0.000    0.000 threading.py:94(_RLock)
      896    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
        1    0.000    0.000    0.000    0.000 bdb.py:1(<module>)
        2    0.000    0.000    0.000    0.000 core.py:2972(__array_finalize__)
       36    0.000    0.000    0.000    0.000 getlimits.py:24(_fr1)
      271    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 subprocess.py:684(Popen)
       61    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.000    0.000 tasks.py:98(Task)
        1    0.000    0.000    0.000    0.000 rdataclass.py:23(RdataClass)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 streams.py:407(StreamReader)
       14    0.000    0.000    0.000    0.000 core.py:8118(_replace_return_type)
       24    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
      498    0.000    0.000    0.000    0.000 inspect.py:2531(default)
      509    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
       52    0.000    0.000    0.000    0.000 _add_newdocs.py:6405(refer_to_array_attribute)
       54    0.000    0.000    0.000    0.000 types.py:983(convert_type)
        1    0.000    0.000    0.000    0.000 convertors.py:1(<module>)
        1    0.000    0.000    0.000    0.000 routing.py:325(Mount)
        1    0.000    0.000    0.000    0.000 futures.py:1(<module>)
       31    0.000    0.000    0.000    0.000 ATNState.py:243(__init__)
        1    0.000    0.000    0.000    0.000 exceptions.py:8(HTTPException)
        1    0.000    0.000    0.000    0.000 types.py:753(Path)
        1    0.000    0.000    0.000    0.000 request.py:611(BaseHandler)
        1    0.000    0.000    0.000    0.000 pprint.py:11(<module>)
      219    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 emitter.py:31(Emitter)
        1    0.000    0.000    0.000    0.000 edns.py:29(OptionType)
        1    0.000    0.000    0.000    0.000 payment_intent.py:2(<module>)
        6    0.000    0.000    0.000    0.000 core.py:1139(__init__)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 datastructures.py:12(UploadFile)
        1    0.000    0.000    0.000    0.000 stapled.py:45(StapledObjectStream)
        1    0.000    0.000    0.000    0.000 reversename.py:18(<module>)
        2    0.000    0.000    0.000    0.000 subprocess.py:1074(wait)
       42    0.000    0.000    0.000    0.000 getlimits.py:101(_float_conv)
       38    0.000    0.000    0.000    0.000 ATNDeserializer.py:493(<lambda>)
        1    0.000    0.000    0.000    0.000 arraypad.py:1(<module>)
       76    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
        1    0.000    0.000    0.000    0.000 structures.py:3(<module>)
        1    0.000    0.000    0.000    0.000 exceptions.py:85(BadParameter)
        1    0.000    0.000    0.000    0.000 proxy_headers.py:23(ProxyHeadersMiddleware)
        1    0.000    0.000    0.000    0.000 verification_session.py:2(<module>)
        1    0.000    0.000    0.000    0.000 charge.py:2(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:588(_register_types)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 typing.py:130(WebSocketReceiveEvent)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:591(_code_to_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 ErrorStrategy.py:6(<module>)
        1    0.000    0.000    0.000    0.000 protocols.py:1(<module>)
        6    0.000    0.000    0.000    0.000 gettext.py:212(_expand_lang)
        1    0.000    0.000    0.000    0.000 models.py:79(Discriminator)
       45    0.000    0.000    0.000    0.000 decorators.py:264(_param_memo)
        2    0.000    0.000    0.000    0.000 contextlib.py:429(callback)
        1    0.000    0.000    0.000    0.000 authorization.py:2(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:1047(__init__)
        1    0.000    0.000    0.000    0.000 basereload.py:22(BaseReload)
        1    0.000    0.000    0.000    0.000 _asarray.py:1(<module>)
        5    0.000    0.000    0.000    0.000 inspect.py:3045(__str__)
        1    0.000    0.000    0.000    0.000 subscription_schedule.py:2(<module>)
       32    0.000    0.000    0.000    0.000 _type_aliases.py:46(<genexpr>)
        1    0.000    0.000    0.000    0.000 core.py:134(ParameterSource)
       37    0.000    0.000    0.000    0.000 dataclasses.py:320(field)
        1    0.000    0.000    0.000    0.000 typing.py:1818(IO)
        1    0.000    0.000    0.000    0.000 client.py:1464(RemoteDisconnected)
        2    0.000    0.000    0.000    0.000 _resources.py:1(<module>)
        1    0.000    0.000    0.000    0.000 credit_note.py:2(<module>)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
       21    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        3    0.000    0.000    0.000    0.000 ufunclike.py:58(_fix_and_maybe_deprecate_out_named_y)
        1    0.000    0.000    0.000    0.000 parser.py:213(Argument)
        1    0.000    0.000    0.000    0.000 entropy.py:18(<module>)
       50    0.000    0.000    0.000    0.000 re.py:268(escape)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 routing.py:527(Router)
        1    0.000    0.000    0.000    0.000 order.py:2(<module>)
        1    0.000    0.000    0.000    0.000 subscription.py:2(<module>)
        1    0.000    0.000    0.000    0.000 setup_intent.py:2(<module>)
       72    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 parser.py:62(<module>)
        1    0.000    0.000    0.000    0.000 _synchronization.py:185(Condition)
        2    0.000    0.000    0.000    0.000 _typedattr.py:28(__init_subclass__)
        2    0.000    0.000    0.000    0.000 subprocess.py:1772(_wait)
       47    0.000    0.000    0.000    0.000 ipaddress.py:158(_split_optional_netmask)
        1    0.000    0.000    0.000    0.000 connection.py:107(_has_ipv6)
        1    0.000    0.000    0.000    0.000 nodes.py:2(<module>)
        1    0.000    0.000    0.000    0.000 exceptions.py:196(NoSuchOption)
       59    0.000    0.000    0.000    0.000 __init__.py:21(__new__)
        1    0.000    0.000    0.000    0.000 bank_account.py:2(<module>)
        1    0.000    0.000    0.000    0.000 payment_method.py:2(<module>)
        1    0.000    0.000    0.000    0.000 stringprep.py:2(<module>)
        1    0.000    0.000    0.000    0.000 IntervalSet.py:13(IntervalSet)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:32(seterr)
        1    0.000    0.000    0.000    0.000 _sockets.py:47(_SocketProvider)
        1    0.000    0.000    0.000    0.000 subscription_item.py:2(<module>)
       37    0.000    0.000    0.000    0.000 dataclasses.py:413(_field_init)
        1    0.000    0.000    0.000    0.000 multiprocess.py:1(<module>)
      114    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 types.py:332(DateTime)
        1    0.000    0.000    0.000    0.000 cookies.py:164(<dictcomp>)
        1    0.000    0.000    0.000    0.000 topup.py:2(<module>)
        1    0.000    0.000    0.000    0.000 webhook.py:1(<module>)
        1    0.000    0.000    0.000    0.000 opcode.py:37(<listcomp>)
       31    0.000    0.000    0.000    0.000 ATNDeserializer.py:490(<lambda>)
       61    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
        1    0.000    0.000    0.000    0.000 core.py:3121(view)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1099(_make_netmask)
        1    0.000    0.000    0.000    0.000 oauth2.py:63(OAuth2PasswordRequestFormStrict)
      228    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        2    0.000    0.000    0.000    0.000 utils.py:25(connect_logger_handler)
        1    0.000    0.000    0.000    0.000 http.py:25(HTTPBase)
        1    0.000    0.000    0.000    0.000 typing.py:67(WebSocketScope)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:326(_sanity_check)
        1    0.000    0.000    0.000    0.000 _fileio.py:172(_PathIterator)
        1    0.000    0.000    0.000    0.000 memory.py:26(MemoryObjectStreamState)
        3    0.000    0.000    0.000    0.000 __init__.py:494(PYFUNCTYPE)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
       36    0.000    0.000    0.000    0.000 getlimits.py:16(_fr0)
        1    0.000    0.000    0.000    0.000 LexerAction.py:13(LexerActionType)
        1    0.000    0.000    0.000    0.000 ATNConfigSet.py:11(<module>)
        1    0.000    0.000    0.000    0.000 jpcntx.py:30(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1262(__init__)
       93    0.000    0.000    0.000    0.000 _inspect.py:131(strseq)
        1    0.000    0.000    0.000    0.000 application_fee.py:2(<module>)
        1    0.000    0.000    0.000    0.000 composer.py:2(<module>)
        8    0.000    0.000    0.000    0.000 uuid.py:130(__init__)
        1    0.000    0.000    0.000    0.000 obj_mixins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 formparsers.py:41(FormParser)
       44    0.000    0.000    0.000    0.000 __init__.py:214(_acquireLock)
        1    0.000    0.000    0.000    0.000 types.py:417(_NumberRangeBase)
        1    0.000    0.000    0.000    0.000 _synchronization.py:41(LockStatistics)
      176    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      176    0.000    0.000    0.000    0.000 __init__.py:385(<genexpr>)
        1    0.000    0.000    0.000    0.000 stripe_response.py:1(<module>)
        2    0.000    0.000    0.000    0.000 functools.py:182(total_ordering)
        2    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 list_object.py:1(<module>)
        1    0.000    0.000    0.000    0.000 error.py:2(<module>)
       12    0.000    0.000    0.000    0.000 params.py:236(__init__)
        1    0.000    0.000    0.000    0.000 typing.py:1930(TextIO)
        1    0.000    0.000    0.000    0.000 Token.py:9(<module>)
      105    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 polyutils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 file.py:2(<module>)
        1    0.000    0.000    0.000    0.000 application_fee_refund.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:202(_set_array_types)
        1    0.000    0.000    0.000    0.000 wire.py:9(Parser)
        1    0.000    0.000    0.000    0.000 types.py:163(FuncParamType)
        8    0.000    0.000    0.000    0.000 resolver.py:25(add_implicit_resolver)
        4    0.000    0.000    0.000    0.000 ssl.py:451(__new__)
        1    0.000    0.000    0.000    0.000 datastructures.py:412(UploadFile)
        8    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
       86    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 formparsers.py:23(MultiPartMessage)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        1    0.000    0.000    0.000    0.000 machine_state.py:1(<module>)
      122    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
        3    0.000    0.000    0.000    0.000 __init__.py:1405(setLevel)
       44    0.000    0.000    0.000    0.000 parser.py:109(split_opt)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1655(_parse_hextet)
        1    0.000    0.000    0.000    0.000 jacParser.py:2992(Has_stmtContext)
        1    0.000    0.000    0.000    0.000 http.py:53(HTTPBasic)
        1    0.000    0.000    0.000    0.000 DiagnosticErrorListener.py:27(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method marshal.dumps}
        1    0.000    0.000    0.000    0.000 _polybase.py:18(ABCPolyBase)
        4    0.000    0.000    0.000    0.000 __init__.py:887(createLock)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
       51    0.000    0.000    0.000    0.000 datastructures.py:49(Default)
      189    0.000    0.000    0.000    0.000 status_codes.py:115(<genexpr>)
        1    0.000    0.000    0.000    0.000 inspect.py:2416(_ParameterKind)
        1    0.000    0.000    0.000    0.000 serializer.py:2(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:103(LazyFile)
        1    0.000    0.000    0.000    0.000 person.py:2(<module>)
      195    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 ssl.py:158(TLSVersion)
        1    0.000    0.000    0.000    0.000 os.py:611(get_exec_path)
        1    0.000    0.000    0.000    0.000 flags.py:24(Flag)
        1    0.000    0.000    0.000    0.000 core.py:6460(__array_finalize__)
       38    0.000    0.000    0.000    0.000 ATNState.py:254(__init__)
       64    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 token.py:74(<dictcomp>)
        8    0.000    0.000    0.000    0.000 warnings.py:165(simplefilter)
        1    0.000    0.000    0.000    0.000 datastructures.py:205(CommaSeparatedStrings)
        1    0.000    0.000    0.000    0.000 jacParser.py:5183(CompareContext)
        1    0.000    0.000    0.000    0.000 Chunk.py:7(<module>)
        7    0.000    0.000    0.000    0.000 six.py:91(__get__)
        1    0.000    0.000    0.000    0.000 DFAState.py:8(<module>)
        1    0.000    0.000    0.000    0.000 uuid.py:70(SafeUUID)
        1    0.000    0.000    0.000    0.000 numerictypes.py:440(_construct_lookups)
       12    0.000    0.000    0.000    0.000 name.py:873(is_all_ascii)
      122    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
      165    0.000    0.000    0.000    0.000 dataclasses.py:392(<genexpr>)
        1    0.000    0.000    0.000    0.000 opcode.py:23(Opcode)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:429(__enter__)
        1    0.000    0.000    0.000    0.000 recipient.py:2(<module>)
        1    0.000    0.000    0.000    0.000 jacParser.py:7667(Kv_pairContext)
        1    0.000    0.000    0.000    0.000 tax_rate.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _exceptions.py:44(ExceptionGroup)
        1    0.000    0.000    0.000    0.000 constants.py:24(_SendfileMode)
        1    0.000    0.000    0.000    0.000 ephemeral_key.py:2(<module>)
        1    0.000    0.000    0.000    0.000 background.py:23(BackgroundTasks)
      119    0.000    0.000    0.000    0.000 enum.py:192(<genexpr>)
        1    0.000    0.000    0.000    0.000 recipient_transfer.py:1(<module>)
      145    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       20    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
       27    0.000    0.000    0.000    0.000 os.py:746(encode)
      122    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
        1    0.000    0.000    0.000    0.000 memory.py:42(MemoryObjectReceiveStream)
        1    0.000    0.000    0.000    0.000 typing.py:1916(BinaryIO)
       11    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
      122    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
       99    0.000    0.000    0.000    0.000 constant.py:339(<lambda>)
        1    0.000    0.000    0.000    0.000 sku.py:2(<module>)
        1    0.000    0.000    0.000    0.000 api_resource.py:1(<module>)
        1    0.000    0.000    0.000    0.000 CommonTokenFactory.py:11(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:1360(_clear_cache)
      122    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
        4    0.000    0.000    0.000    0.000 __init__.py:555(__init__)
      122    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
        1    0.000    0.000    0.000    0.000 routing.py:155(BaseRoute)
        1    0.000    0.000    0.000    0.000 file_link.py:2(<module>)
        1    0.000    0.000    0.000    0.000 value_list.py:2(<module>)
        1    0.000    0.000    0.000    0.000 ast.py:13(ast)
       33    0.000    0.000    0.000    0.000 os.py:798(fsencode)
        1    0.000    0.000    0.000    0.000 bitcoin_receiver.py:2(<module>)
       18    0.000    0.000    0.000    0.000 dataclasses.py:342(_tuple_str)
       81    0.000    0.000    0.000    0.000 overrides.py:110(set_module)
        1    0.000    0.000    0.000    0.000 coupon.py:2(<module>)
       81    0.000    0.000    0.000    0.000 overrides.py:121(decorator)
        1    0.000    0.000    0.000    0.000 price.py:2(<module>)
        1    0.000    0.000    0.000    0.000 location.py:2(<module>)
        1    0.000    0.000    0.000    0.000 plan.py:2(<module>)
       36    0.000    0.000    0.000    0.000 _string_helpers.py:16(english_lower)
      144    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.000    0.000 tsig.py:153(HMACTSig)
        1    0.000    0.000    0.000    0.000 reader.py:2(<module>)
        2    0.000    0.000    0.000    0.000 ATNDeserializer.py:102(checkUUID)
        1    0.000    0.000    0.000    0.000 debug.py:1(<module>)
       31    0.000    0.000    0.000    0.000 ATNState.py:235(__init__)
        1    0.000    0.000    0.000    0.000 ssl.py:168(_TLSContentType)
        1    0.000    0.000    0.000    0.000 deletable_api_resource.py:1(<module>)
        1    0.000    0.000    0.000    0.000 edge.py:1(<module>)
        2    0.000    0.000    0.000    0.000 copyreg.py:99(_slotnames)
        1    0.000    0.000    0.000    0.000 capability.py:2(<module>)
        1    0.000    0.000    0.000    0.000 apple_pay_domain.py:2(<module>)
        1    0.000    0.000    0.000    0.000 typing_extensions.py:1052(__new__)
        1    0.000    0.000    0.000    0.000 customer_balance_transaction.py:2(<module>)
