         619085 function calls (598864 primitive calls) in 0.381 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      387    0.000    0.000    0.010    0.000 inspect.py:2839(from_callable)
  486/387    0.001    0.000    0.009    0.000 inspect.py:2206(_signature_from_callable)
  814/115    0.003    0.000    0.009    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.009    0.009 loader.py:2(<module>)
        4    0.000    0.000    0.009    0.002 request.py:1(<module>)
  5659/43    0.004    0.000    0.008    0.000 copy.py:128(deepcopy)
   267/11    0.001    0.000    0.008    0.001 copy.py:225(_deepcopy_dict)
        1    0.000    0.000    0.008    0.008 _internal_utils.py:3(<module>)
        1    0.000    0.000    0.008    0.008 _fileio.py:1(<module>)
        1    0.000    0.000    0.008    0.008 compat.py:3(<module>)
   143/43    0.001    0.000    0.008    0.000 copy.py:257(_reconstruct)
     3407    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
        8    0.000    0.000    0.007    0.001 utils.py:1(<module>)
   138/39    0.000    0.000    0.007    0.000 copy.py:208(_deepcopy_tuple)
   138/39    0.000    0.000    0.007    0.000 copy.py:209(<listcomp>)
        1    0.000    0.000    0.007    0.007 filepost.py:1(<module>)
        2    0.000    0.000    0.007    0.004 main.py:1(<module>)
        1    0.000    0.000    0.007    0.007 message.py:18(<module>)
     1484    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
        1    0.000    0.000    0.007    0.007 to_thread.py:1(<module>)
     3431    0.006    0.000    0.006    0.000 {built-in method posix.stat}
      425    0.006    0.000    0.006    0.000 sre_compile.py:276(_optimize_charset)
       54    0.002    0.000    0.006    0.000 enum.py:129(__new__)
        1    0.000    0.000    0.006    0.006 uuid.py:1(<module>)
        2    0.002    0.001    0.006    0.003 ATNDeserializer.py:115(readStates)
     6743    0.003    0.000    0.006    0.000 typing.py:759(__setattr__)
      383    0.002    0.000    0.006    0.000 inspect.py:2112(_signature_from_function)
        1    0.000    0.000    0.006    0.006 __init__.py:19(<module>)
      264    0.001    0.000    0.006    0.000 typing.py:674(__getitem__)
     1536    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:376(cached)
        1    0.000    0.000    0.005    0.005 parser.py:5(<module>)
      316    0.001    0.000    0.005    0.000 overrides.py:170(decorator)
    79248    0.005    0.000    0.005    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.005    0.005 feedparser.py:5(<module>)
        1    0.000    0.000    0.005    0.005 universaldetector.py:28(<module>)
      872    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:147(__enter__)
      420    0.000    0.000    0.005    0.000 typing.py:686(copy_with)
      794    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
      743    0.005    0.000    0.005    0.000 {built-in method io.open_code}
      144    0.000    0.000    0.005    0.000 live_actions.py:17(jaseci_action)
        2    0.000    0.000    0.005    0.002 ATNDeserializer.py:87(reset)
        2    0.002    0.001    0.005    0.002 ATNDeserializer.py:91(<listcomp>)
      378    0.000    0.000    0.004    0.000 typing.py:799(__getitem__)
     1789    0.002    0.000    0.004    0.000 typing.py:120(_type_check)
        1    0.000    0.000    0.004    0.004 base_events.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _policybase.py:1(<module>)
     7720    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
      144    0.002    0.000    0.004    0.000 inspect.py:325(getmembers)
        1    0.000    0.000    0.004    0.004 cookiejar.py:1(<module>)
    20540    0.004    0.000    0.004    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.004    0.004 index_tricks.py:1(<module>)
        2    0.000    0.000    0.004    0.002 _sockets.py:1(<module>)
     2026    0.001    0.000    0.004    0.000 ATNDeserializer.py:474(edgeFactory)
        1    0.000    0.000    0.004    0.004 _pickle.py:1(<module>)
        1    0.000    0.000    0.004    0.004 jaseci.py:38(build_cmds)
       13    0.000    0.000    0.004    0.000 enum.py:434(_convert_)
     1327    0.001    0.000    0.004    0.000 enum.py:278(__call__)
        1    0.000    0.000    0.004    0.004 reader.py:18(<module>)
        1    0.000    0.000    0.004    0.004 reader.py:45(Reader)
      115    0.000    0.000    0.004    0.000 sre_compile.py:536(_compile_info)
        3    0.000    0.000    0.004    0.001 types.py:1(<module>)
     1459    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     1509    0.003    0.000    0.004    0.000 {built-in method __new__ of type object at 0xabff60}
      264    0.001    0.000    0.004    0.000 typing.py:187(_subs_tvars)
     1066    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
        2    0.000    0.000    0.004    0.002 connection.py:1(<module>)
      156    0.000    0.000    0.003    0.000 typing.py:815(__getitem_inner__)
        2    0.002    0.001    0.003    0.002 ATNDeserializer.py:378(verifyATN)
        1    0.000    0.000    0.003    0.003 CommonTokenStream.py:32(<module>)
     1157    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
        1    0.000    0.000    0.003    0.003 ssl.py:4(<module>)
        1    0.000    0.000    0.003    0.003 Lexer.py:11(<module>)
      141    0.000    0.000    0.003    0.000 abc.py:84(__new__)
        1    0.000    0.000    0.003    0.003 basereload.py:1(<module>)
      286    0.001    0.000    0.003    0.000 overrides.py:88(verify_matching_signatures)
       15    0.000    0.000    0.003    0.000 dataclasses.py:991(wrap)
       15    0.000    0.000    0.003    0.000 dataclasses.py:801(_process_class)
      720    0.002    0.000    0.003    0.000 functools.py:33(update_wrapper)
      743    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
       96    0.000    0.000    0.003    0.000 interface.py:28(assimilate_api)
        1    0.000    0.000    0.003    0.003 _synchronization.py:1(<module>)
     6835    0.002    0.000    0.003    0.000 typing.py:643(_is_dunder)
        2    0.000    0.000    0.003    0.001 subprocess.py:1(<module>)
     1923    0.001    0.000    0.003    0.000 ATNDeserializer.py:496(stateFactory)
        1    0.000    0.000    0.003    0.003 error_object.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _internal.py:1(<module>)
       21    0.000    0.000    0.003    0.000 platform.py:884(system)
       38    0.000    0.000    0.003    0.000 platform.py:746(uname)
        1    0.000    0.000    0.003    0.003 platform.py:603(_syscmd_uname)
        1    0.000    0.000    0.003    0.003 api.py:1(<module>)
    16852    0.002    0.000    0.003    0.000 ATNDeserializer.py:88(adjust)
        1    0.000    0.000    0.003    0.003 resolver.py:2(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:17(<module>)
        1    0.000    0.000    0.003    0.003 LexerATNSimulator.py:23(<module>)
        1    0.000    0.000    0.003    0.003 inspect.py:1(<module>)
       13    0.000    0.000    0.003    0.000 enum.py:381(_create_)
        1    0.000    0.000    0.003    0.003 socket.py:4(<module>)
        1    0.000    0.000    0.003    0.003 cd.py:1(<module>)
        1    0.000    0.000    0.003    0.003 edns.py:18(<module>)
        1    0.000    0.000    0.003    0.003 query.py:18(<module>)
        1    0.000    0.000    0.003    0.003 mbcsgroupprober.py:30(<module>)
